AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
FLORINETH D;1;104;1;104;12;florineth d;0,00000000000000e+00;3,33333333333333e-01;1,75248622453671e-04;NA
FLOURY M;1;1;1;1;3;floury m;0,00000000000000e+00;6,21040864488883e-05;1,47367185145764e-04;c11
FLUCH S;1;101;0;0;0;fluch s;0,00000000000000e+00;4,10004100041000e-05;2,12885139440055e-04;NA
FLUCH V;1;57;0;0;0;fluch v;0,00000000000000e+00;4,65896384644055e-05;1,98730024135013e-04;NA
FLUZIN P;1;1;0;0;0;fluzin p;0,00000000000000e+00;1,66666666666667e-01;2,27515755466093e-04;NA
FOEHN A;1;34;1;34;2;foehn a;0,00000000000000e+00;6,05766900896535e-05;1,57819416495220e-04;NA
FONTAINE MF;1;41;0;0;0;fontaine mf;0,00000000000000e+00;6,08605684377092e-05;1,20551038131150e-04;c04
FONTANIER B;1;135;0;0;0;fontanier b;0,00000000000000e+00;6,53039900737935e-05;9,92489794336426e-05;c06
FONTEZ BN;1;16;0;0;0;fontez bn;0,00000000000000e+00;6,94589150517469e-05;1,26310714446445e-04;c04
FORCELLINI JM;1;21;0;0;0;forcellini jm;0,00000000000000e+00;6,69792364367046e-05;1,29793513537448e-04;c01
FORET C;1;28;0;0;0;foret c;0,00000000000000e+00;6,83246788740093e-05;1,56548621876171e-04;c01
FORNIER M;1;89;0;0;0;fornier m;1,87357430986688e+04;8,20883270398949e-05;4,90833714889797e-04;NA
FORTIER V;1;9;0;0;0;fortier v;0,00000000000000e+00;5,79172941040195e-05;1,48069919356820e-04;c09
FOSSET C;1;28;0;0;1;fosset c;0,00000000000000e+00;6,89084895259096e-05;6,52696939066442e-05;c03
FOULQUIER A;1;26;0;0;4;foulquier a;6,32515951920743e+02;7,31368390258173e-05;2,13996637425075e-04;c01
FOULQUIER L;1;2;0;0;9;foulquier l;0,00000000000000e+00;5,65131393048884e-05;1,41530011923655e-04;c04
FOURNEL R;1;26;0;0;0;fournel r;0,00000000000000e+00;1,42857142857143e-01;2,27515755466138e-04;NA
FOWLER SW;1;131;0;0;13;fowler sw;0,00000000000000e+00;6,73128702207862e-05;1,37192985271663e-04;c02
FOX M;1;6;0;0;6;fox m;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
FOX S;1;1;1;1;1;fox s;0,00000000000000e+00;5,42652485348383e-05;8,80340534644605e-05;NA
FRAMEZELLE G;1;4;0;0;0;framezelle g;0,00000000000000e+00;2,50000000000000e-01;2,27515755466104e-04;NA
FRANC O;1;2;1;2;3;franc o;0,00000000000000e+00;6,19501920455953e-05;2,00946157168179e-04;NA
FRANC P;1;8;0;0;4;franc p;0,00000000000000e+00;5,16769159216578e-05;2,03202954299377e-04;NA
FRANC S;1;0;0;0;4;franc s;0,00000000000000e+00;6,96233377428114e-05;1,59731520731463e-04;NA
FRANCES F;1;20;0;0;1;frances f;0,00000000000000e+00;6,11060189428659e-05;1,80592501206600e-04;NA
FRANCO P;1;0;0;0;1;franco p;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
FRANK R;1;12;0;0;4;frank r;0,00000000000000e+00;4,06190340793696e-05;7,85415146144464e-05;c10
FREIRE S;1;23;0;0;0;freire s;0,00000000000000e+00;2,00000000000000e-01;2,27515755466221e-04;NA
FREYDIER R;1;8;0;0;0;freydier r;5,00000000000000e-01;8,33333333333333e-02;2,38694859909548e-04;NA
FREYHOF J;1;6;0;0;7;freyhof j;0,00000000000000e+00;6,93192846249827e-05;1,88718945937340e-04;c04
FRICK DA;1;6;0;0;1;frick da;0,00000000000000e+00;1,66666666666667e-01;2,41089943525862e-04;NA
FRIEND C;1;19;0;0;0;friend c;0,00000000000000e+00;7,50131272972770e-05;1,67683371531905e-04;c02
FRIEND PL;1;73;0;0;1;friend pl;1,60530292497255e+03;7,21344586308880e-05;2,37348772860414e-04;c02
FRINGS PJ;1;6;1;6;1;frings pj;0,00000000000000e+00;1,66666666666667e-01;2,41089943525786e-04;NA
FRISCH W;1;33;0;0;1;frisch w;0,00000000000000e+00;1,66666666666667e-01;2,27515755466200e-04;NA
FRITZ U;1;18;1;18;1;fritz u;0,00000000000000e+00;5,27064776261003e-05;2,37392444004314e-04;NA
FROIDEFOND JM;1;30;0;0;6;froidefond jm;0,00000000000000e+00;6,24141805018100e-05;1,04196154786307e-04;c03
FROLOW V;1;0;1;0;0;frolow v;0,00000000000000e+00;NA;3,41273633200992e-05;NA
FROMONT A;1;26;1;26;1;fromont a;0,00000000000000e+00;1,42857142857143e-01;2,27515755466089e-04;NA
FRUCHART F;1;0;0;0;2;fruchart f;0,00000000000000e+00;5,91680965623336e-05;2,07366124148444e-04;c11
FRY JJ;1;63;0;0;0;fry jj;0,00000000000000e+00;5,56080742923873e-05;1,81693077306559e-04;c05
FUELLING A;1;2;0;0;0;fuelling a;0,00000000000000e+00;6,19501920455953e-05;2,00946157168141e-04;NA
FULOP RH;1;0;0;0;0;fulop rh;0,00000000000000e+00;5,88235294117647e-02;2,46471249324370e-04;NA
FUNK M;1;108;0;0;0;funk m;0,00000000000000e+00;5,59753708368318e-05;1,80471631762501e-04;c07
FUSS M;1;1;0;0;1;fuss m;0,00000000000000e+00;5,00000000000000e-02;2,33444373134493e-04;NA
GADIOLET P;1;2;0;0;0;gadiolet p;0,00000000000000e+00;6,19501920455953e-05;2,00946157168102e-04;NA
GAERTNER F;1;4;0;0;0;gaertner f;0,00000000000000e+00;7,34699875101021e-05;1,19489618457192e-04;NA
GAERTNER JC;1;49;1;49;10;gaertner jc;0,00000000000000e+00;5,89448865310934e-05;1,32729486661042e-04;c02
GAGNEPAIN J;1;1;1;1;3;gagnepain j;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
GAILHARD J;1;27;0;0;0;gailhard j;0,00000000000000e+00;5,49178977428744e-05;1,28090567795397e-04;NA
GAILLARD C;1;1;0;0;0;gaillard c;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
GAIROARD C;1;10;0;0;0;gairoard c;0,00000000000000e+00;7,66929979292891e-05;9,84685044131084e-05;c05
GAIROARD N;1;3;0;0;0;gairoard n;0,00000000000000e+00;6,67958052234320e-05;1,09815512588101e-04;c05
GALAND PE;1;48;0;0;1;galand pe;0,00000000000000e+00;6,99888017917133e-05;1,13823477290615e-04;c06
GALASSI DMP;1;18;1;18;5;galassi dmp;3,29674693267715e+03;8,04246421103426e-05;3,10746720064345e-04;c01
GALAT DL;1;115;1;115;7;galat dl;0,00000000000000e+00;5,24521374246001e-05;6,48701340507881e-05;c01
GALERON S;1;2;0;0;0;galeron s;0,00000000000000e+00;6,25782227784731e-05;1,12748437260886e-04;NA
GALGANI A;1;93;0;0;0;galgani a;0,00000000000000e+00;6,28417017532835e-05;9,77034872173266e-05;c03
GALGANI C;1;1;0;0;0;galgani c;0,00000000000000e+00;5,02765208647562e-05;1,22798537665689e-04;c06
GALGANI F;1;86;0;0;8;galgani f;0,00000000000000e+00;6,06722485135299e-05;1,30668516629455e-04;c03
GALINDO DALTO S;1;5;0;0;0;galindo dalto s;0,00000000000000e+00;6,13986615091791e-05;2,24339071557499e-04;c06
GALLAY A;1;68;0;0;4;gallay a;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
GALLI A;1;5;0;0;1;galli a;0,00000000000000e+00;5,35417893666006e-05;1,97426032071971e-04;NA
GALLOTTI R;1;22;0;0;0;gallotti r;0,00000000000000e+00;4,98678501969780e-05;2,71644417302093e-04;NA
GAMPER CD;1;0;0;0;0;gamper cd;0,00000000000000e+00;6,23869237007923e-05;1,08048525172766e-04;c11
GAN S;1;19;1;19;5;gan s;1,92587156271093e+03;5,27537455159316e-05;2,70785507940573e-04;NA
GANDILLON G;1;0;1;0;0;gandillon g;0,00000000000000e+00;NA;3,41273633200992e-05;NA
GANDOUIN E;1;34;1;34;1;gandouin e;0,00000000000000e+00;6,96281854894861e-05;1,19795888740806e-04;c01
GARABETIAN F;1;0;0;0;1;garabetian f;0,00000000000000e+00;6,13911228436368e-05;2,01018199423617e-04;c06
GARABETIAN N;1;5;0;0;0;garabetian n;0,00000000000000e+00;6,13986615091791e-05;2,24339071557457e-04;c06
GARCIA XF;1;12;1;12;5;garcia xf;0,00000000000000e+00;3,33333333333333e-01;1,75248622453671e-04;NA
GARCIA-GARCIA A;1;19;1;19;12;garcia-garcia a;0,00000000000000e+00;7,50131272972770e-05;1,67683371531867e-04;c02
GARCIA-ORELLANA J;1;21;0;0;4;garcia-orellana j;6,48929841124528e+04;5,91086416834141e-05;2,60301665670754e-04;c10
GARCON M;1;21;1;21;2;garcon m;0,00000000000000e+00;1,25000000000000e-01;1,67235212789277e-04;NA
GARNIER E;1;3;1;3;3;garnier e;0,00000000000000e+00;NA;3,41273633200992e-05;NA
GARREAU A;1;2;0;0;0;garreau a;0,00000000000000e+00;7,01606679295587e-05;2,69146768105890e-04;c07
GARRIGUES P;1;17;0;0;2;garrigues p;0,00000000000000e+00;6,19732275656916e-05;1,51377811121701e-04;c07
GARROTE L;1;23;1;23;1;garrote l;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
GARTNER H;1;0;0;0;0;gartner h;0,00000000000000e+00;4,76190476190476e-02;2,39530228592263e-04;NA
GARVER JI;1;43;0;0;1;garver ji;0,00000000000000e+00;1,42857142857143e-01;2,21908263124159e-04;NA
GARZANTI E;1;73;1;73;6;garzanti e;0,00000000000000e+00;2,00000000000000e-01;2,27515755466221e-04;NA
GASC A;1;25;0;0;2;gasc a;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
GASCO C;1;24;0;0;8;gasco c;0,00000000000000e+00;6,86907542244814e-05;1,23564088551062e-04;c06
GASSERT F;1;37;1;37;0;gassert f;0,00000000000000e+00;1,42857142857143e-01;2,27515755466184e-04;NA
GATTACCECA J;1;18;0;0;0;gattacceca j;0,00000000000000e+00;6,10165354811154e-05;1,36349810241944e-04;NA
GATTO M;1;56;0;0;0;gatto m;0,00000000000000e+00;5,45286002508316e-05;2,05597603794613e-04;NA
GAUBERT P;1;16;1;16;1;gaubert p;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
GAUCHER G;1;0;1;0;3;gaucher g;0,00000000000000e+00;6,96233377428114e-05;1,59731520731427e-04;NA
GAUTHERON C;1;8;0;0;1;gautheron c;0,00000000000000e+00;1,42857142857143e-01;2,27515755466138e-04;NA
GAUTHIER A;1;11;0;0;3;gauthier a;0,00000000000000e+00;6,75493109970278e-05;8,89659437541484e-05;c06
GAUTIER A;1;12;0;0;0;gautier a;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
GAUTIER E;1;14;1;14;15;gautier e;0,00000000000000e+00;2,00000000000000e-01;2,27515755466097e-04;NA
GEFFARD A;1;16;0;0;1;geffard a;0,00000000000000e+00;5,68763508133318e-05;1,93749453059409e-04;c07
GEIGER MF;1;6;0;0;1;geiger mf;0,00000000000000e+00;6,93192846249827e-05;1,88718945937299e-04;c04
GELDER SR;1;2;0;0;1;gelder sr;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
GEMA CHACON M;1;36;0;0;0;gema chacon m;0,00000000000000e+00;4,98132004981320e-05;8,74252056056963e-05;NA
GENESTE E;1;30;0;0;0;geneste e;0,00000000000000e+00;6,80364675466050e-05;1,45133613980437e-04;c07
GENTILE A;1;0;0;0;0;gentile a;0,00000000000000e+00;5,20074890784273e-05;2,02547769470487e-04;NA
GENTRIC J;1;0;0;0;1;gentric j;0,00000000000000e+00;6,23869237007923e-05;1,08048525172732e-04;c11
GEORGES C;1;0;0;0;0;georges c;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
GERDES A;1;0;0;0;1;gerdes a;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
GERN L;1;23;0;0;0;gern l;0,00000000000000e+00;2,00000000000000e-01;2,27515755466161e-04;NA
GERSTNER P;1;6;0;0;0;gerstner p;0,00000000000000e+00;9,09090909090909e-02;2,27515755466115e-04;NA
GETTOVA L;1;10;1;10;0;gettova l;0,00000000000000e+00;5,95415302173266e-05;1,04828544939936e-04;c09
GEYSKENS N;1;14;0;0;0;geyskens n;0,00000000000000e+00;7,21552781585973e-05;2,04977776730754e-04;c06
GHIGLIONE JF;1;16;0;0;3;ghiglione jf;2,76318844671066e+03;8,00768737988469e-05;2,90546571950739e-04;c03
GHILARDI M;1;6;0;0;4;ghilardi m;7,77074397824398e+02;5,90597684857075e-05;3,71128060725699e-04;c05
GIANI M;1;35;0;0;2;giani m;0,00000000000000e+00;7,52898659840386e-05;1,19844237802284e-04;c04
GIANNI G;1;16;1;16;1;gianni g;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
GIBERT G;1;1;0;0;0;gibert g;0,00000000000000e+00;6,54065014062398e-05;1,48599912638512e-04;c04
GIELES R;1;72;0;0;0;gieles r;0,00000000000000e+00;1,42857142857143e-01;2,21908263124159e-04;NA
GIGUET-COVEX C;1;51;1;51;5;giguet-covex c;0,00000000000000e+00;7,23065798987708e-05;1,57159002161367e-04;c01
GILI JM;1;9;0;0;1;gili jm;1,77808236992645e+04;6,78518116433709e-05;2,83464390136900e-04;c02
GILLET H;1;5;0;0;1;gillet h;5,49841269841270e+00;6,14137443959958e-05;2,79550418118663e-04;c06
GILLON AL;1;1;0;0;0;gillon al;0,00000000000000e+00;6,07570326265265e-05;1,14652426889516e-04;c05
GILLON M;1;4;0;0;0;gillon m;0,00000000000000e+00;6,08087564609304e-05;1,74621277514576e-04;c05
GIOSAN L;1;35;0;0;9;giosan l;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
GIOVANOLI F;1;2;1;2;17;giovanoli f;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
GIRALDEZ M;1;27;0;0;0;giraldez m;0,00000000000000e+00;1,66666666666667e-01;2,27515755466035e-04;NA
GIRARDCLOS M;1;23;0;0;0;girardclos m;0,00000000000000e+00;5,23615038223898e-05;2,50009829611937e-04;c10
GIRAUD A;1;51;0;0;0;giraud a;8,89500000000000e+03;5,02714659159461e-05;3,22924300790101e-04;c05
GIRAUDEL JL;1;83;0;0;1;giraudel jl;0,00000000000000e+00;6,62514906585398e-05;1,47010617780559e-04;c07
GIRESSE D;1;29;0;0;0;giresse d;0,00000000000000e+00;6,50110518788194e-05;1,83777306491589e-04;NA
GISBERT E;1;4;0;0;0;gisbert e;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
GIULIANI S;1;8;1;8;0;giuliani s;0,00000000000000e+00;7,29873731844391e-05;1,07146851783533e-04;NA
GIVELET N;1;27;0;0;0;givelet n;0,00000000000000e+00;7,18545663576920e-05;1,49469107540657e-04;c07
GJONI V;1;0;1;0;1;gjoni v;0,00000000000000e+00;6,63129973474801e-05;1,04246222731224e-04;c01
GLENZ D;1;11;0;0;1;glenz d;0,00000000000000e+00;5,88235294117647e-02;2,17541786770600e-04;NA
GLOTZBACH C;1;33;0;0;0;glotzbach c;0,00000000000000e+00;1,66666666666667e-01;2,27515755466148e-04;NA
GODARD O;1;8;0;0;0;godard o;0,00000000000000e+00;1,42857142857143e-01;2,27515755466089e-04;NA
GODET CH;1;90;0;0;0;godet ch;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
GOLDHAMMER T;1;19;0;0;0;goldhammer t;2,39633053221289e+01;5,19076044640540e-05;2,51218492658082e-04;NA
GOLLMANN G;1;17;1;17;4;gollmann g;0,00000000000000e+00;5,76767793286423e-05;1,63008427670746e-04;c09
GOND L;1;8;0;0;0;gond l;0,00000000000000e+00;7,18132854578097e-05;1,44356040601613e-04;c08
GONG WEIGUO GW;1;0;0;0;0;gong weiguo gw;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
GONZALEZ ML;1;1;1;1;0;gonzalez ml;0,00000000000000e+00;5,61860883245308e-05;9,47048290857757e-05;c03
GONZALEZ-CAMACHO JM;1;15;1;15;0;gonzalez-camacho jm;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
GONZALEZ-FERNANDEZ D;1;89;0;0;1;gonzalez-fernandez d;0,00000000000000e+00;6,77139761646804e-05;9,95391785587884e-05;c03
GONZALEZ-MORA B;1;14;0;0;0;gonzalez-mora b;0,00000000000000e+00;5,18403317781234e-05;1,47222530460783e-04;NA
GONZALEZ-QUIJANO S;1;38;0;0;0;gonzalez-quijano s;0,00000000000000e+00;4,62235370250532e-05;1,85019488534414e-04;c10
GORE JA;1;72;0;0;17;gore ja;0,00000000000000e+00;7,10429099175902e-05;1,15333083022472e-04;c01
GOROSTIZA S;1;3;1;3;1;gorostiza s;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
GOSSET A;1;16;0;0;1;gosset a;0,00000000000000e+00;7,53522718709969e-05;1,46573975890462e-04;c07
GOUDE G;1;9;0;0;1;goude g;0,00000000000000e+00;4,32806751785328e-05;1,99028089284104e-04;c10
GOUSKOV A;1;3;1;3;3;gouskov a;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
GOUTELARD F;1;16;1;16;7;goutelard f;0,00000000000000e+00;5,61167227833895e-05;1,04050358990107e-04;c05
GRABOWSKI M;1;26;1;26;2;grabowski m;0,00000000000000e+00;4,53782275264328e-05;1,27979726253941e-04;c01
GRABSKA D;1;21;0;0;0;grabska d;0,00000000000000e+00;6,40820249919897e-05;9,48851604670371e-05;NA
GRAF B;1;7;0;0;0;graf b;0,00000000000000e+00;5,04388177141128e-05;1,78427956948710e-04;NA
GRAF C;1;99;0;0;2;graf c;0,00000000000000e+00;4,34537000825620e-05;1,79290577988218e-04;c10
GRAFF B;1;1;1;1;1;graff b;0,00000000000000e+00;5,19993760074879e-05;1,52619581490021e-04;c11
GRAHAM ND;1;4;0;0;2;graham nd;0,00000000000000e+00;4,61446172304001e-05;9,88319966453426e-05;c10
GRANADOS A;1;23;0;0;0;granados a;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
GRASSET C;1;11;1;11;1;grasset c;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
GRASSO JR;1;20;0;0;0;grasso jr;0,00000000000000e+00;2,00000000000000e-01;2,27515755466030e-04;NA
GRAUBY O;1;16;0;0;0;grauby o;0,00000000000000e+00;6,58327847267939e-05;2,11885312461093e-04;c08
GRAZ Y;1;16;1;16;6;graz y;0,00000000000000e+00;6,98421567257997e-05;1,31615660424529e-04;c07
GREEN AG;1;8;0;0;0;green ag;0,00000000000000e+00;3,88621172081455e-05;1,09848956803175e-04;c10
GREEN R;1;189;0;0;14;green r;0,00000000000000e+00;6,52103032279100e-05;2,01634717354522e-04;c06
GREGOR DJ;1;30;0;0;0;gregor dj;0,00000000000000e+00;4,06289359281680e-05;2,03450310553558e-04;c10
GREGORI G;1;16;0;0;1;gregori g;0,00000000000000e+00;7,97066794197354e-05;1,65919682177915e-04;c03
GREGORIO V;1;18;1;18;2;gregorio v;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
GREINERT J;1;22;0;0;0;greinert j;0,00000000000000e+00;4,61872430834603e-05;2,06526585750957e-04;c10
GRELOT F;1;19;0;0;0;grelot f;0,00000000000000e+00;2,50000000000000e-01;2,23809813744761e-04;NA
GRENOUILLET G;1;79;1;79;22;grenouillet g;0,00000000000000e+00;7,43273375947673e-05;1,26773557231760e-04;c04
GREOUILLET G;1;0;0;0;0;greouillet g;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
GRIFFEL P;1;0;0;0;0;griffel p;0,00000000000000e+00;4,76190476190476e-02;2,39530228592227e-04;NA
GRILLOT J;1;0;0;0;0;grillot j;0,00000000000000e+00;7,84006272050176e-05;1,75303068251142e-04;c01
GRIVEL G;1;14;0;0;0;grivel g;0,00000000000000e+00;2,00000000000000e-01;2,27515755466030e-04;NA
GRIZZETTI B;1;50;1;50;2;grizzetti b;0,00000000000000e+00;5,35217298223079e-05;1,28070154664576e-04;NA
GROSPRETRE L;1;8;0;0;1;grospretre l;0,00000000000000e+00;6,70555890833501e-05;9,27894418808035e-05;c07
GROUSSET FE;1;122;1;122;17;grousset fe;0,00000000000000e+00;6,60807506773277e-05;1,76803193396052e-04;c02
GRUAT A;1;0;0;0;0;gruat a;0,00000000000000e+00;7,74233508826262e-05;1,77133802939307e-04;c08
GRUETTER R;1;5;0;0;0;gruetter r;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
GRUN R;1;11;0;0;0;grun r;0,00000000000000e+00;4,98256103637270e-05;1,19121754063432e-04;NA
GUADELLI JL;1;38;0;0;4;guadelli jl;0,00000000000000e+00;5,83328472262731e-05;1,15141478347964e-04;NA
GUALDI S;1;19;0;0;0;gualdi s;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
GUAN CL;1;3;1;3;1;guan cl;0,00000000000000e+00;5,79441418472592e-05;8,52964842270776e-05;c03
GUAN YIQING GY;1;0;0;0;0;guan yiqing gy;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
GUARINI JM;1;8;0;0;1;guarini jm;0,00000000000000e+00;6,05363520794237e-05;1,23798468524898e-04;c06
GUENAND Y;1;27;0;0;0;guenand y;0,00000000000000e+00;5,92487261523877e-05;2,23534544943408e-04;NA
GUENEUGUES A;1;20;0;0;0;gueneugues a;0,00000000000000e+00;7,66107408258638e-05;1,28219520554535e-04;c02
GUERBER F;1;0;0;0;1;guerber f;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
GUERIN PE;1;12;0;0;0;guerin pe;0,00000000000000e+00;5,79374275782155e-05;1,82636328540665e-04;c04
GUERLESQUIN M;1;18;0;0;2;guerlesquin m;0,00000000000000e+00;6,62383254951315e-05;9,01431858677137e-05;c01
GUERRERO E;1;9;1;9;1;guerrero e;0,00000000000000e+00;5,77734126754867e-05;1,54831296166761e-04;NA
GUGI L;1;5;0;0;0;gugi l;0,00000000000000e+00;4,95810402102236e-05;1,49557973408037e-04;c05
GUGLIELMI Y;1;15;1;15;2;guglielmi y;0,00000000000000e+00;3,95882818685669e-05;1,53174521489439e-04;NA
GUICHARD F;1;21;0;0;0;guichard f;0,00000000000000e+00;6,61244462077630e-05;1,40675083625910e-04;c06
GUICKING D;1;18;0;0;0;guicking d;0,00000000000000e+00;5,27064776261003e-05;2,37392444004270e-04;NA
GUILBAUD C;1;0;0;0;1;guilbaud c;0,00000000000000e+00;1,11111111111111e-01;2,02400379862805e-04;NA
GUILBERT R;1;22;0;0;1;guilbert r;0,00000000000000e+00;6,65513110608279e-05;1,80239952218731e-04;c07
GUILLARD F;1;122;0;0;0;guillard f;0,00000000000000e+00;6,60807506773277e-05;1,76803193396014e-04;c02
GUILLAUMIN E;1;0;1;0;0;guillaumin e;0,00000000000000e+00;5,34988230258934e-05;2,25939556823793e-04;NA
GUILLEN J;1;203;0;0;46;guillen j;1,36286764177502e+02;7,07563857638152e-05;1,83656331649384e-04;c02
GUILLOCHEAU F;1;29;0;0;3;guillocheau f;0,00000000000000e+00;5,56792873051225e-05;2,06972314154414e-04;NA
GUILLOT L;1;28;0;0;1;guillot l;0,00000000000000e+00;6,56857593273778e-05;1,70597549176511e-04;c05
GUILLOU H;1;2;0;0;0;guillou h;0,00000000000000e+00;7,01606679295587e-05;2,69146768105849e-04;c07
GUITER F;1;93;0;0;3;guiter f;0,00000000000000e+00;7,33299112708074e-05;2,49814043737219e-04;c01
GUNNELL Y;1;2;0;0;0;gunnell y;0,00000000000000e+00;7,01606679295587e-05;2,69146768105808e-04;c07
GURTZ J;1;68;0;0;2;gurtz j;0,00000000000000e+00;4,34537000825620e-05;1,79290577988218e-04;c10
GUSEV Y;1;158;0;0;3;gusev y;0,00000000000000e+00;5,43124049532913e-05;2,69712258867320e-04;NA
GUYOMAR O;1;154;0;0;0;guyomar o;0,00000000000000e+00;2,00000000000000e-01;2,13192995783870e-04;NA
GUYOTJEANNIN O;1;0;1;0;0;guyotjeannin o;0,00000000000000e+00;NA;3,41273633200992e-05;NA
HAAS P;1;1;0;0;0;haas p;0,00000000000000e+00;2,00000000000000e-01;2,27515755466097e-04;NA
HABEL JC;1;37;0;0;1;habel jc;0,00000000000000e+00;1,42857142857143e-01;2,27515755466138e-04;NA
HADDELAND I;1;158;0;0;2;haddeland i;0,00000000000000e+00;5,43124049532913e-05;2,69712258867281e-04;NA
HAENNI C;1;26;0;0;0;haenni c;0,00000000000000e+00;5,91436006624083e-05;1,62664220795108e-04;c04
HAIDVOGL G;1;12;0;0;2;haidvogl g;0,00000000000000e+00;7,31421884142774e-05;1,23276219865657e-04;c04
HAIN S;1;0;0;0;0;hain s;0,00000000000000e+00;6,58241179568194e-05;2,02885273067487e-04;c06
HAMMADA M;1;28;0;0;0;hammada m;0,00000000000000e+00;6,83246788740093e-05;1,56548621876132e-04;c01
HAMMAN C;1;0;1;0;0;hamman c;0,00000000000000e+00;NA;3,41273633200992e-05;NA
HANOT G;1;4;0;0;0;hanot g;0,00000000000000e+00;6,99986000279994e-05;1,65367116487352e-04;c05
HARBY A;1;20;1;20;7;harby a;0,00000000000000e+00;7,38061849582995e-05;9,32862245639611e-05;c01
HARDY JJ;1;22;0;0;0;hardy jj;0,00000000000000e+00;4,98678501969780e-05;2,71644417302050e-04;NA
HARKINS GW;1;78;0;0;0;harkins gw;0,00000000000000e+00;7,69230769230769e-02;2,27515755465961e-04;NA
HARMEL T;1;27;0;0;1;harmel t;0,00000000000000e+00;5,92487261523877e-05;2,23534544943364e-04;NA
HARMELIN-VIVIEN C;1;37;0;0;0;harmelin-vivien c;0,00000000000000e+00;5,93014291644429e-05;9,98420240559677e-05;c04
HARRIS CK;1;26;0;0;8;harris ck;0,00000000000000e+00;6,47207300498350e-05;1,35721747084128e-04;c06
HARRIS T;1;24;0;0;0;harris t;0,00000000000000e+00;6,33191920471095e-05;2,23092295358346e-04;c01
HARRISON PJ;1;189;0;0;7;harrison pj;0,00000000000000e+00;6,52103032279100e-05;2,01634717354483e-04;c06
HARTMANN-VIRNICH A;1;6;0;0;0;hartmann-virnich a;0,00000000000000e+00;5,81091289441571e-05;2,53147636816260e-04;c05
HAUET A;1;25;0;0;2;hauet a;0,00000000000000e+00;7,18184429761563e-05;1,50035903812191e-04;c08
HAUFFE HC;1;0;0;0;0;hauffe hc;0,00000000000000e+00;7,14285714285714e-02;2,27515755466025e-04;NA
HAUSSER J;1;50;0;0;1;hausser j;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
HAYBACH A;1;2;0;0;3;haybach a;0,00000000000000e+00;5,56947925368978e-05;7,11227612871089e-05;c01
HE K;1;0;1;0;10;he k;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
HEBERLING F;1;1;0;0;0;heberling f;0,00000000000000e+00;5,00000000000000e-02;2,33444373134427e-04;NA
